"year","unitid","inst_name","state_name","inst_control","cc_basic_2015","default_rate","completion_rate_150pct"
"2016","157289","University of Louisville","Kentucky","Public","Doctoral universities: highest research activity","0.06","0.544"
"2016","157298","Louisville Presbyterian Theological Seminary","Kentucky","Private not-for-profit","Special focus four-year: faith-related institutions","0.048",""
"2016","157377","Midway University","Kentucky","Private not-for-profit","Master's colleges & universities: small programs","0.099","0.524"
"2016","157386","Morehead State University","Kentucky","Public","Master's colleges & universities: larger programs","0.078","0.418"
"2016","157401","Murray State University","Kentucky","Public","Master's colleges & universities: larger programs","0.094","0.491"
"2016","157447","Northern Kentucky University","Kentucky","Public","Master's colleges & universities: larger programs","0.084","0.397"
"2016","157535","University of Pikeville","Kentucky","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.139","0.299"
"2016","157632","Saint Catharine College","Kentucky","Private not-for-profit","Baccalaureate colleges: diverse fields","",""
"2016","157748","The Southern Baptist Theological Seminary","Kentucky","Private not-for-profit","Special focus four-year: faith-related institutions","","0.481"
"2016","157757","Spalding University","Kentucky","Private not-for-profit","Doctoral universities: moderate research activity","0.062","0.447"
"2016","157809","Thomas More College","Kentucky","Private not-for-profit","Master's colleges & universities: small programs","0.058","0.451"
"2016","157818","Transylvania University","Kentucky","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.029","0.755"
"2016","157863","Union College","Kentucky","Private not-for-profit","Master's colleges & universities: medium programs","0.105","0.337"
"2016","157951","Western Kentucky University","Kentucky","Public","Master's colleges & universities: larger programs","0.098","0.431"
"2016","260947","Christian Life College","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","","0.4"
"2016","260956","Knowledge Systems Institute","Illinois","Private not-for-profit","Special focus four-year: other technology-related schools","",""
"2016","409254","Erikson Institute","Illinois","Private not-for-profit","Special focus four-year: other special focus institutions","0",""
"2016","443030","NorthShore University HealthSystem School of Nurse Anesthesia","Illinois","Private not-for-profit","Not applicable","",""
"2016","443702","Bexley Hall Seabury Western Theological Seminary Federation, Inc.","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","",""
"2016","445054","Toyota Technological Institute at Chicago","Illinois","Private not-for-profit","Not applicable","",""
"2016","461759","Simmons College of Kentucky","Kentucky","Private not-for-profit","Special focus four-year: faith-related institutions","","1"
"2016","483984","Morthland College","Illinois","Private not-for-profit","Not applicable","",""
"2016","488086","Northwest Suburban College","Illinois","Private not-for-profit","Not applicable","","0.787"
"2015","142832","Adler University","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0.012",""
"2015","142887","American Academy of Art","Illinois","Private not-for-profit","Special focus four-year: arts, music, and design schools","0.035","0.436"
"2015","142957","American Islamic College","Illinois","Private not-for-profit","Not applicable","",""
"2015","143048","School of the Art Institute of Chicago","Illinois","Private not-for-profit","Special focus four-year: arts, music, and design schools","0.074","0.657"
"2015","143084","Augustana College","Illinois","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.029","0.769"
"2015","143118","Aurora University","Illinois","Private not-for-profit","Master's colleges & universities: larger programs","0.052","0.582"
"2015","143288","Blackburn College","Illinois","Private not-for-profit","Baccalaureate colleges: diverse fields","0.112","0.42"
"2015","143297","Blessing Rieman College of Nursing","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0",""
"2015","143358","Bradley University","Illinois","Private not-for-profit","Master's colleges & universities: medium programs","0.032","0.745"
"2015","143659","Catholic Theological Union at Chicago","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","0",""
"2015","143853","Midwestern University-Downers Grove","Illinois","Private not-for-profit","Special focus four-year: medical schools and centers","0.002",""
"2015","143978","The Chicago School of Professional Psychology at Chicago","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0.025",""
"2015","144005","Chicago State University","Illinois","Public","Master's colleges & universities: medium programs","0.102","0.164"
"2015","144014","Chicago Theological Seminary","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","0.037",""
"2015","144050","University of Chicago","Illinois","Private not-for-profit","Doctoral universities: highest research activity","0.009","0.942"
"2015","144281","Columbia College-Chicago","Illinois","Private not-for-profit","Master's colleges & universities: medium programs","0.091","0.445"
"2015","144351","Concordia University-Chicago","Illinois","Private not-for-profit","Special focus four-year: other special focus institutions","0.037","0.475"
"2015","144740","DePaul University","Illinois","Private not-for-profit","Doctoral universities: moderate research activity","0.033","0.725"
"2015","144883","East-West University","Illinois","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.146","0.113"
"2015","144892","Eastern Illinois University","Illinois","Public","Master's colleges & universities: larger programs","0.048","0.573"
"2015","144962","Elmhurst College","Illinois","Private not-for-profit","Master's colleges & universities: medium programs","0.017","0.689"
"2015","144971","Eureka College","Illinois","Private not-for-profit","Baccalaureate colleges: diverse fields","0.042","0.517"
"2015","145275","Garrett-Evangelical Theological Seminary","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","0",""
"2015","145336","Governors State University","Illinois","Public","Master's colleges & universities: larger programs","0.032",""
"2015","145372","Greenville College","Illinois","Private not-for-profit","Master's colleges & universities: small programs","0.061","0.466"
"2015","145497","Hebrew Theological College","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","0","0.053"
"2015","145558","Rosalind Franklin University of Medicine and Science","Illinois","Private not-for-profit","Special focus four-year: medical schools and centers","0.001",""
"2015","145600","University of Illinois at Chicago","Illinois","Public","Doctoral universities: highest research activity","0.028","0.578"
"2015","145619","Benedictine University","Illinois","Private not-for-profit","Doctoral universities: moderate research activity","0.054","0.507"
"2015","145628","Illinois College of Optometry","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0",""
"2015","145637","University of Illinois at Urbana-Champaign","Illinois","Public","Doctoral universities: highest research activity","0.017","0.852"
"2015","145646","Illinois Wesleyan University","Illinois","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.009","0.807"
"2015","145691","Illinois College","Illinois","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.04","0.68"
"2015","145725","Illinois Institute of Technology","Illinois","Private not-for-profit","Doctoral universities: higher research activity","0.021","0.714"
"2015","145813","Illinois State University","Illinois","Public","Doctoral universities: higher research activity","0.028","0.722"
"2015","145886","Institute for Clinical Social Work","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0.045",""
"2015","146241","The John Marshall Law School","Illinois","Private not-for-profit","Special focus four-year: law schools","0.009",""
"2015","146339","Judson University","Illinois","Private not-for-profit","Master's colleges & universities: small programs","0.039","0.643"
"2015","146427","Knox College","Illinois","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.025","0.774"
"2015","146481","Lake Forest College","Illinois","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.04","0.699"
"2015","146490","Lake Forest Graduate School of Management","Illinois","Private not-for-profit","Special focus four-year: business and management schools","0.015",""
"2015","146533","Lakeview College of Nursing","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0",""
"2015","146612","Lewis University","Illinois","Private not-for-profit","Master's colleges & universities: larger programs","0.041","0.616"
"2015","146667","Lincoln Christian University","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","0.086","0.613"
"2015","146676","Lincoln College","Illinois","Private not-for-profit","Baccalaureate/associate's colleges: mixed baccalaureate/associate's","0.083","0.372"
"2015","146719","Loyola University Chicago","Illinois","Private not-for-profit","Doctoral universities: higher research activity","0.032","0.749"
"2015","146728","Lutheran School of Theology at Chicago","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","0",""
"2015","146755","Trinity College of Nursing & Health Sciences","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0.034","1"
"2015","146825","MacMurray College","Illinois","Private not-for-profit","Baccalaureate colleges: diverse fields","0.075","0.233"
"2015","146977","McCormick Theological Seminary","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","0.015",""
"2015","147013","McKendree University","Illinois","Private not-for-profit","Master's colleges & universities: larger programs","0.061","0.519"
"2015","147031","Meadville Lombard Theological School","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","0.039",""
"2015","147129","Methodist College","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0.018","0.462"
"2015","147244","Millikin University","Illinois","Private not-for-profit","Baccalaureate colleges: diverse fields","0.067","0.6"
"2015","147341","Monmouth College","Illinois","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.087","0.558"
"2015","147369","Moody Bible Institute","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","","0.612"
"2015","147536","National Louis University","Illinois","Private not-for-profit","Doctoral universities: moderate research activity","0.038","0.302"
"2015","147590","National University of Health Sciences","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0.018",""
"2015","147660","North Central College","Illinois","Private not-for-profit","Master's colleges & universities: medium programs","0.035","0.687"
"2015","147679","North Park University","Illinois","Private not-for-profit","Master's colleges & universities: larger programs","0.052","0.533"
"2015","147697","Northern Baptist Theological Seminary","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","0",""
"2015","147703","Northern Illinois University","Illinois","Public","Doctoral universities: higher research activity","0.067","0.465"
"2015","147767","Northwestern University","Illinois","Private not-for-profit","Doctoral universities: highest research activity","0.013","0.935"
"2015","147776","Northeastern Illinois University","Illinois","Public","Master's colleges & universities: larger programs","0.068","0.239"
"2015","147828","Olivet Nazarene University","Illinois","Private not-for-profit","Master's colleges & universities: larger programs","0.037","0.572"
"2015","148016","Principia College","Illinois","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","","0.677"
"2015","148131","Quincy University","Illinois","Private not-for-profit","Master's colleges & universities: medium programs","0.065","0.511"
"2015","148335","Robert Morris University Illinois","Illinois","Private not-for-profit","Master's colleges & universities: larger programs","0.036","0.413"
"2015","148405","Rockford University","Illinois","Private not-for-profit","Master's colleges & universities: small programs","0.075","0.493"
"2015","148487","Roosevelt University","Illinois","Private not-for-profit","Master's colleges & universities: larger programs","0.059","0.403"
"2015","148496","Dominican University","Illinois","Private not-for-profit","Master's colleges & universities: larger programs","0.045","0.618"
"2015","148511","Rush University","Illinois","Private not-for-profit","Special focus four-year: medical schools and centers","0.009",""
"2015","148575","Saint Francis Medical Center College of Nursing","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0.007",""
"2015","148584","University of St Francis","Illinois","Private not-for-profit","Master's colleges & universities: larger programs","0.032","0.629"
"2015","148593","St. John's College-Department of Nursing","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0",""
"2015","148627","Saint Xavier University","Illinois","Private not-for-profit","Master's colleges & universities: larger programs","0.042","0.51"
"2015","148654","University of Illinois at Springfield","Illinois","Public","Master's colleges & universities: larger programs","0.052","0.498"
"2015","148724","Bexley Hall Seabury Western Theological Seminary Federation","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","",""
"2015","148849","Shimer College","Illinois","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.108","0.684"
"2015","148876","Saint Augustine College","Illinois","Private not-for-profit","Baccalaureate/associate's colleges: mixed baccalaureate/associate's","","0.389"
"2015","148885","University of Saint Mary of the Lake","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","",""
"2015","148982","Spertus College","Illinois","Private not-for-profit","Special focus four-year: other special focus institutions","0.021",""
"2015","149028","Saint Anthony College of Nursing","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0",""
"2015","149222","Southern Illinois University-Carbondale","Illinois","Public","Doctoral universities: higher research activity","0.086","0.44"
"2015","149231","Southern Illinois University-Edwardsville","Illinois","Public","Master's colleges & universities: larger programs","0.075","0.479"
"2015","149240","Southern Illinois University-System Office","Illinois","Public","Not applicable","",""
"2015","149329","Telshe Yeshiva-Chicago","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","","0.353"
"2015","149505","Trinity Christian College","Illinois","Private not-for-profit","Baccalaureate colleges: diverse fields","0.04","0.577"
"2015","149514","Trinity International University-Illinois","Illinois","Private not-for-profit","Doctoral universities: moderate research activity","0.054","0.582"
"2015","149587","University of Illinois University Administration","Illinois","Public","Not applicable","",""
"2015","149639","VanderCook College of Music","Illinois","Private not-for-profit","Special focus four-year: arts, music, and design schools","0.06","0.588"
"2015","149763","Resurrection University","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0.013",""
"2015","149772","Western Illinois University","Illinois","Public","Master's colleges & universities: larger programs","0.071","0.531"
"2015","149781","Wheaton College","Illinois","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.003","0.905"
"2015","156189","Alice Lloyd College","Kentucky","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.111","0.314"
"2015","156213","Asbury University","Kentucky","Private not-for-profit","Master's colleges & universities: small programs","0.037","0.635"
"2015","156222","Asbury Theological Seminary","Kentucky","Private not-for-profit","Special focus four-year: faith-related institutions","0.052",""
"2015","156286","Bellarmine University","Kentucky","Private not-for-profit","Master's colleges & universities: larger programs","0.043","0.635"
"2015","156295","Berea College","Kentucky","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.103","0.629"
"2015","156356","Brescia University","Kentucky","Private not-for-profit","Baccalaureate colleges: diverse fields","0.103","0.274"
"2015","156365","Campbellsville University","Kentucky","Private not-for-profit","Master's colleges & universities: larger programs","0.127","0.359"
"2015","156408","Centre College","Kentucky","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.019","0.862"
"2015","156417","Clear Creek Baptist Bible College","Kentucky","Private not-for-profit","Special focus four-year: faith-related institutions","","0.563"
"2015","156541","University of the Cumberlands","Kentucky","Private not-for-profit","Doctoral universities: moderate research activity","0.064","0.426"
"2015","156620","Eastern Kentucky University","Kentucky","Public","Master's colleges & universities: larger programs","0.106","0.407"
"2015","156727","Frontier Nursing University","Kentucky","Private not-for-profit","Special focus four-year: other health professions schools","0.019",""
"2015","156745","Georgetown College","Kentucky","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.063","0.571"
"2015","157030","Kentucky Mountain Bible College","Kentucky","Private not-for-profit","Special focus four-year: faith-related institutions","0.116","0.214"
"2015","157058","Kentucky State University","Kentucky","Public","Baccalaureate colleges: diverse fields","0.176","0.199"
"2015","157076","Kentucky Wesleyan College","Kentucky","Private not-for-profit","Baccalaureate colleges: diverse fields","0.114","0.381"
"2015","157085","University of Kentucky","Kentucky","Public","Doctoral universities: highest research activity","0.044","0.64"
"2015","157100","Kentucky Christian University","Kentucky","Private not-for-profit","Baccalaureate colleges: diverse fields","0.097","0.288"
"2015","157207","Lexington Theological Seminary","Kentucky","Private not-for-profit","Special focus four-year: faith-related institutions","0.157",""
"2015","157216","Lindsey Wilson College","Kentucky","Private not-for-profit","Master's colleges & universities: larger programs","0.115","0.339"
"2015","157289","University of Louisville","Kentucky","Public","Doctoral universities: highest research activity","0.072","0.527"
"2015","157298","Louisville Presbyterian Theological Seminary","Kentucky","Private not-for-profit","Special focus four-year: faith-related institutions","0.036",""
"2015","157377","Midway University","Kentucky","Private not-for-profit","Master's colleges & universities: small programs","0.101","0.65"
"2015","157386","Morehead State University","Kentucky","Public","Master's colleges & universities: larger programs","0.08","0.454"
"2015","157401","Murray State University","Kentucky","Public","Master's colleges & universities: larger programs","0.084","0.486"
"2015","157447","Northern Kentucky University","Kentucky","Public","Master's colleges & universities: larger programs","0.081","0.376"
"2015","157535","University of Pikeville","Kentucky","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.13","0.275"
"2015","157632","Saint Catharine College","Kentucky","Private not-for-profit","Baccalaureate colleges: diverse fields","0.145",""
"2015","157748","The Southern Baptist Theological Seminary","Kentucky","Private not-for-profit","Special focus four-year: faith-related institutions","","0.333"
"2015","157757","Spalding University","Kentucky","Private not-for-profit","Doctoral universities: moderate research activity","0.072","0.472"
